id,name,mal_id,source,image,image_fallback,image_small,rarity,active
0,Lelouch Lamperouge,417,Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/characters/8/406163.webp,https://cdn.myanimelist.net/images/characters/8/406163.jpg,https://cdn.myanimelist.net/images/characters/8/406163t.webp,3,1
1,Luffy Monkey D.,40,,https://cdn.myanimelist.net/images/characters/9/310307.webp,https://cdn.myanimelist.net/images/characters/9/310307.jpg,https://cdn.myanimelist.net/images/characters/9/310307t.webp,3,1
2,Levi,45627,,https://cdn.myanimelist.net/images/characters/2/241413.webp,https://cdn.myanimelist.net/images/characters/2/241413.jpg,https://cdn.myanimelist.net/images/characters/2/241413t.webp,3,1
3,L Lawliet,71,,https://cdn.myanimelist.net/images/characters/10/249647.webp,https://cdn.myanimelist.net/images/characters/10/249647.jpg,https://cdn.myanimelist.net/images/characters/10/249647t.webp,3,1
4,Zoro Roronoa,62,,https://cdn.myanimelist.net/images/characters/3/100534.webp,https://cdn.myanimelist.net/images/characters/3/100534.jpg,https://cdn.myanimelist.net/images/characters/3/100534t.webp,3,1
5,Killua Zoldyck,27,,https://cdn.myanimelist.net/images/characters/2/327920.webp,https://cdn.myanimelist.net/images/characters/2/327920.jpg,https://cdn.myanimelist.net/images/characters/2/327920t.webp,3,1
6,Light Yagami,80,,https://cdn.myanimelist.net/images/characters/6/63870.webp,https://cdn.myanimelist.net/images/characters/6/63870.jpg,https://cdn.myanimelist.net/images/characters/6/63870t.webp,3,1
7,Rintarou Okabe,35252,,https://cdn.myanimelist.net/images/characters/6/122643.webp,https://cdn.myanimelist.net/images/characters/6/122643.jpg,https://cdn.myanimelist.net/images/characters/6/122643t.webp,3,1
8,Edward Elric,11,,https://cdn.myanimelist.net/images/characters/9/72533.webp,https://cdn.myanimelist.net/images/characters/9/72533.jpg,https://cdn.myanimelist.net/images/characters/9/72533t.webp,3,1
9,Naruto Uzumaki,17,,https://cdn.myanimelist.net/images/characters/12/61330.webp,https://cdn.myanimelist.net/images/characters/12/61330.jpg,https://cdn.myanimelist.net/images/characters/12/61330t.webp,3,1
10,Guts,422,,https://cdn.myanimelist.net/images/characters/13/284125.webp,https://cdn.myanimelist.net/images/characters/13/284125.jpg,https://cdn.myanimelist.net/images/characters/13/284125t.webp,3,1
11,Gintoki Sakata,672,,https://cdn.myanimelist.net/images/characters/15/241479.webp,https://cdn.myanimelist.net/images/characters/15/241479.jpg,https://cdn.myanimelist.net/images/characters/15/241479t.webp,3,1
12,Eren Yeager,40882,,https://cdn.myanimelist.net/images/characters/10/216895.webp,https://cdn.myanimelist.net/images/characters/10/216895.jpg,https://cdn.myanimelist.net/images/characters/10/216895t.webp,3,1
13,Kurisu Makise,34470,,https://cdn.myanimelist.net/images/characters/12/492885.webp,https://cdn.myanimelist.net/images/characters/12/492885.jpg,https://cdn.myanimelist.net/images/characters/12/492885t.webp,3,1
14,Itachi Uchiha,14,,https://cdn.myanimelist.net/images/characters/9/284122.webp,https://cdn.myanimelist.net/images/characters/9/284122.jpg,https://cdn.myanimelist.net/images/characters/9/284122t.webp,3,1
15,Satoru Gojou,164471,,https://cdn.myanimelist.net/images/characters/15/422168.webp,https://cdn.myanimelist.net/images/characters/15/422168.jpg,https://cdn.myanimelist.net/images/characters/15/422168t.webp,3,1
16,Mikasa Ackerman,40881,,https://cdn.myanimelist.net/images/characters/9/215563.webp,https://cdn.myanimelist.net/images/characters/9/215563.jpg,https://cdn.myanimelist.net/images/characters/9/215563t.webp,3,1
17,Ken Kaneki,87275,,https://cdn.myanimelist.net/images/characters/15/307255.webp,https://cdn.myanimelist.net/images/characters/15/307255.jpg,https://cdn.myanimelist.net/images/characters/15/307255t.webp,3,1
18,Hachiman Hikigaya,67065,,https://cdn.myanimelist.net/images/characters/4/203555.webp,https://cdn.myanimelist.net/images/characters/4/203555.jpg,https://cdn.myanimelist.net/images/characters/4/203555t.webp,3,1
19,Kakashi Hatake,85,,https://cdn.myanimelist.net/images/characters/7/284129.webp,https://cdn.myanimelist.net/images/characters/7/284129.jpg,https://cdn.myanimelist.net/images/characters/7/284129t.webp,3,1
20,Spike Spiegel,1,,https://cdn.myanimelist.net/images/characters/11/516853.webp,https://cdn.myanimelist.net/images/characters/11/516853.jpg,https://cdn.myanimelist.net/images/characters/11/516853t.webp,3,1
21,Saitama,73935,,https://cdn.myanimelist.net/images/characters/11/294388.webp,https://cdn.myanimelist.net/images/characters/11/294388.jpg,https://cdn.myanimelist.net/images/characters/11/294388t.webp,3,1
22,Rem,118763,,https://cdn.myanimelist.net/images/characters/9/311327.webp,https://cdn.myanimelist.net/images/characters/9/311327.jpg,https://cdn.myanimelist.net/images/characters/9/311327t.webp,3,1
23,Joseph Joestar,6356,,https://cdn.myanimelist.net/images/characters/7/316615.webp,https://cdn.myanimelist.net/images/characters/7/316615.jpg,https://cdn.myanimelist.net/images/characters/7/316615t.webp,3,1
24,Megumin,117225,,https://cdn.myanimelist.net/images/characters/14/349249.webp,https://cdn.myanimelist.net/images/characters/14/349249.jpg,https://cdn.myanimelist.net/images/characters/14/349249t.webp,3,1
25,Hitagi Senjougahara,22037,,https://cdn.myanimelist.net/images/characters/11/287902.webp,https://cdn.myanimelist.net/images/characters/11/287902.jpg,https://cdn.myanimelist.net/images/characters/11/287902t.webp,3,1
26,Kazuto Kirigaya,36765,,https://cdn.myanimelist.net/images/characters/7/204821.webp,https://cdn.myanimelist.net/images/characters/7/204821.jpg,https://cdn.myanimelist.net/images/characters/7/204821t.webp,3,1
27,Arataka Reigen,109931,,https://cdn.myanimelist.net/images/characters/16/308364.webp,https://cdn.myanimelist.net/images/characters/16/308364.jpg,https://cdn.myanimelist.net/images/characters/16/308364t.webp,3,1
28,Yato,84677,,https://cdn.myanimelist.net/images/characters/3/328158.webp,https://cdn.myanimelist.net/images/characters/3/328158.jpg,https://cdn.myanimelist.net/images/characters/3/328158t.webp,3,1
